City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,la cocha,-27.7773,-65.5704,12.58,47,95,3.37,AR,1715264894
214,charters towers,-20.1,146.2667,19.13,81,100,3.13,AU,1715264894
215,san mariano,7.5,126.0,23.69,92,26,1.01,PH,1715264895
216,flying fish cove,-10.4217,105.6791,26.82,83,75,4.63,CX,1715264896
217,fisterra,42.9049,-9.2629,25.17,64,100,0.65,ES,1715264897
218,pangkalanbuun,-2.6833,111.6167,24.54,98,62,0.9,ID,1715264897
219,east london,-33.0153,27.9116,22.52,78,0,2.06,ZA,1715264898
220,la'ie,21.6477,-157.9253,22.84,86,3,4.47,US,1715264898
221,misratah,32.3754,15.0925,18.85,62,71,10.42,LY,1715264899
222,jayapura,-2.5333,140.7,25.66,90,100,0.55,ID,1715264899
223,okhotsk,59.3833,143.3,-0.24,94,100,3.89,RU,1715264900
224,nicoya,10.1483,-85.452,28.15,79,100,0.47,CR,1715264900
225,soio,-6.1349,12.3689,28.39,75,88,3.56,AO,1715264901
226,sisimiut,66.9395,-53.6735,-1.41,69,3,2.13,GL,1715264901
227,labytnangi,66.6572,66.4183,-3.12,95,100,12.12,RU,1715264902
228,falenki,58.3613,51.5946,0.46,72,100,6.21,RU,1715264902
229,altai,46.3722,96.2583,7.79,39,0,4.42,MN,1715264902
230,kaga bandoro,6.9896,19.1874,40.77,16,94,1.77,CF,1715264903
231,playa del ingles,27.7567,-15.5787,24.11,65,100,1.79,ES,1715264711
232,coyhaique,-45.5752,-72.0662,2.34,100,100,2.06,CL,1715264904
233,palamas,39.4667,22.0833,19.9,58,100,4.4,GR,1715264904
234,nagqu,31.5,92.0,2.82,55,100,1.09,CN,1715264905
235,bopolu,7.0667,-10.4875,30.4,68,100,1.94,LR,1715264905
236,quellon,-43.1167,-73.6167,8.36,80,96,5.18,CL,1715264906
237,ta`u,-14.2336,-169.5144,28.32,80,100,6.48,AS,1715264906
238,igarka,67.4667,86.5833,-0.55,99,100,5.81,RU,1715264907
239,luderitz,-26.6481,15.1594,20.15,61,49,8.5,NA,1715264907
240,sitangkai,4.6628,119.3928,29.19,76,12,5.13,PH,1715264908
241,kangding,30.0513,101.9603,11.82,99,100,1.91,CN,1715264908
242,coromandel,-18.4733,-47.2003,26.15,37,1,4.12,BR,1715264909
243,gadani,25.1185,66.7299,30.12,83,0,5.33,PK,1715264909
244,konjic,43.6519,17.9614,23.49,78,100,3.81,BA,1715264910
245,tual,-5.6667,132.75,28.95,76,21,7.63,ID,1715264910
246,taoudenni,22.6783,-3.9836,42.73,4,3,1.62,ML,1715264910
247,sainte-luce,14.4673,-60.9271,31.97,62,75,6.69,MQ,1715264911
248,cumberland,35.0502,-78.8664,24.71,81,0,6.69,US,1715264911
249,vorgashor,67.5833,63.95,-2.33,74,100,11.17,RU,1715264912
250,tindouf,27.6711,-8.1474,40.25,6,40,2.06,DZ,1715264912
251,hammerfest,70.6634,23.6821,4.25,52,20,7.2,NO,1715264913
252,holualoa,19.6228,-155.9522,20.91,73,0,1.54,US,1715264913
253,paysandu,-32.3214,-58.0756,13.67,58,2,1.84,UY,1715264914
254,port shepstone,-30.7414,30.455,24.71,76,0,6.48,ZA,1715264914
255,kuliyapitiya,7.4688,80.0401,29.82,84,99,1.27,LK,1715264915
256,nogliki,51.8333,143.1667,6.86,80,100,5.36,RU,1715264915
257,ulladulla,-35.35,150.4667,15.59,81,100,0.72,AU,1715264916
258,udachny,66.4167,112.4,-7.53,87,95,3.32,RU,1715264916
259,carloforte,39.145,8.3058,16.98,82,36,6.41,IT,1715264917
260,jeddah,21.5169,39.2192,34.92,36,0,4.63,SA,1715264849
261,ola,59.5833,151.2833,0.08,89,14,0.75,RU,1715264918
262,lompoc,34.6391,-120.4579,13.77,93,0,2.06,US,1715264918
263,vilyuchinsk,52.9306,158.4028,4.4,78,2,4.28,RU,1715264919
264,ghadamis,30.1337,9.5007,26.38,21,21,5.92,LY,1715264919
265,ugoofaaru,5.6667,73.0,29.8,74,100,3.56,MV,1715264920
266,yebaishou,41.3975,119.6408,16.44,44,100,2.93,CN,1715264920
267,mawu,29.5923,107.3139,18.21,89,100,1.11,CN,1715264920
268,gobabis,-22.45,18.9667,29.19,20,4,5.45,NA,1715264921
269,neiafu,-18.65,-173.9833,23.38,94,75,0.0,TO,1715264921
270,klyuchi,52.2667,79.1667,20.83,44,100,4.42,RU,1715264922
271,kovin,44.7475,20.9761,19.94,71,97,4.47,RS,1715264922
272,isola di capo rizzuto,38.96,17.0933,22.32,56,0,6.17,IT,1715264923
273,sabzevar,36.2126,57.6819,17.6,59,40,3.09,IR,1715264923
274,shilka,51.85,116.0333,11.26,58,100,5.5,RU,1715264924
275,pimenta bueno,-11.6725,-61.1936,30.91,57,37,2.31,BR,1715264924
276,brookings,44.3114,-96.7984,14.19,76,0,5.66,US,1715264925
